Symbole;Nom;Type;Balance;Valeur (USD);Prix actuel (USD);Variation 24h (%);Variation 24h (USD);% du Portfolio;Wallets
SOL;Solana;NATIVE;0.2409;25.50;105.87;-2.07;N/A;74.23;Solana
ETH;Ethereum Native Token;NATIVE;0.00572259 ETH;8.85;1 546,83;-4.24;68.48;25.77;ETH Deblock
